wincrop,lem,rep,plot,avg
C,0,1,R1T7,3.98
C,0,2,R2T1,2.22
C,0,3,R3T5,2.96
C,0,4,R4T9,3.94
K,0,1,R1T9,4.52
K,0,2,R2T8,3.28
K,0,3,R3T7,2.3
K,0,4,R4T2,2.78
L,0,1,R1T3,2.16
L,0,2,R2T4,2.36
L,0,3,R3T3,3.56
L,0,4,R4T5,3.78
C,1.8,1,R1T4,3.08
C,1.8,2,R2T9,4
C,1.8,3,R3T2,3.52
C,1.8,4,R4T3,3.68
K,1.8,1,R1T5,3.36
K,1.8,2,R2T3,2.88
K,1.8,4,R4T7,4.08
L,1.8,1,R1T1,4.4
L,1.8,2,R2T6,3.64
L,1.8,3,R3T8,3.78
L,1.8,4,R4T1,3.5
C,3.6,1,R1T8,3.64
C,3.6,2,R2T7,3.08
C,3.6,3,R3T9,4.12
C,3.6,4,R4T6,3.92
K,3.6,2,R2T5,3.58
K,3.6,3,R3T1,3.56
K,3.6,4,R4T4,3.48
L,3.6,1,R1T6,3.68
L,3.6,2,R2T2,3.48
L,3.6,3,R3T6,4.4
L,3.6,4,R4T8,4.14
